year,party_id,party,eu_position,eu_blur,lrgen,galtan,lrecon,redistribution
2019,1404,VAS,5.071428775787354,2,1.5,1.5,1.571428537368774,1.071428537368774
2019,1403,KESK,4.857142925262451,3.5,5.857142925262451,6.714285850524902,6.071428775787354,4.928571224212646
2019,1406,SFP,6.428571224212646,3.5,6,2.714285612106323,6.214285850524902,4.714285850524902
2019,1402,KOK,6.428571224212646,4.5,7.714285850524902,5.071428775787354,7.857142925262451,6.857142925262451
2019,1401,SDP,5.928571224212646,4,3.142857074737549,3.285714387893677,3.214285612106323,1.714285731315613
2019,1408,VIHR,6.5,1.5,3.714285612106323,0.9285714030265808,4.142857074737549,2.857142925262451
2019,1405,PS,1.642857193946838,6.5,7.571428775787354,8.785714149475098,6.428571224212646,5.285714149475098
2019,1409,KD,3.928571462631226,2.5,6.857142925262451,8.785714149475098,5.714285850524902,4.785714149475098
1999,1608,NyD,5,NA,9,6,8,NA
2010,1609,JL,2.266666650772095,NA,5.272727489471436,4.199999809265137,5.222222328186035,5.400000095367432
2014,1611,PIRAT,3.714285612106323,NA,5,1.235294103622437,5.25,5.166666507720947
2014,1612,FI,3.157894849777222,NA,1.809523820877075,0.8095238208770752,1.714285731315613,1.375
2019,1603,C,6.058823585510254,2.9000001,6.823529243469238,2.235294103622437,8,6.75
2019,1605,M,6.058823585510254,3.4000001,7.705882549285889,5.941176414489746,7.705882549285889,7.1875
2019,1602,S/SAP,5.75,3.8,3.882352828979492,4.411764621734619,4.117647171020508,2.8125
2019,1610,SD,2.235294103622437,4.9000001,8.470588684082031,8.764705657958984,5.588235378265381,4.6875
2019,1601,V,3.176470518112183,4.8000002,1.70588231086731,1.941176414489746,1.764705896377563,0.5
2019,1607,MP,5.117647171020508,3.8,3.29411768913269,1.588235259056091,3.941176414489746,3
2019,1604,L,6.882352828979492,0.89999998,6.529411792755127,3.235294103622437,7.117647171020508,6.25
2019,1606,KD,5.823529243469238,3.7,7.823529243469238,7.058823585510254,7.235294342041016,6.3125
2002,2006,KSII,5.67,NA,6.86,6.33,6.29,NA
2010,2011,L,4,NA,6,8.199999809265137,4.428571224212646,4.5
2010,2012,RZS,4.222222328186035,NA,6.5,8,4.166666507720947,4.166666507720947
2010,2009,BNS,6,NA,6.142857074737549,6.142857074737549,5.625,5.5
2010,2001,NDSV,6.545454502105713,NA,5.818181991577148,4.199999809265137,6.181818008422852,6.888888835906982
2014,2002,SDS,6.647058963775635,NA,7.133333206176758,3.5,7.6875,7.647058963775635
2014,2016,ABV,5.647058963775635,NA,3.466666698455811,5.375,3.375,3.133333444595337
2014,2013,DBG,6.75,NA,6.133333206176758,3.588235378265381,6.533333301544189,6.599999904632568
2014,2015,BBT,4.533333301544189,NA,6.083333492279053,7.454545497894287,3.900000095367432,3
2019,2010,GERB,6.550000190734863,3.1111112,6.095238208770752,5.761904716491699,6.095238208770752,5.904761791229248
